pid1 pid1_Status pid2 pid2_Status weight
16 Research 23 GradStudent 154.0
16 Research 60 GradStudent 104.0
16 Research 25 Director 79.0
16 Research 22 Director 20.0
16 Research 24 PM 175.0
16 Research 50 PM 19.0
16 Research 41 Research 300.0
16 Research 55 Research 77.0
16 Research 9 Operations 43.0
16 Research 18 Operations 28.0
27 GradStudent 17 GradStudent 1.0
27 GradStudent 25 Director 5.0
27 GradStudent 28 Director 2.0
27 GradStudent 29 PM 26.0
27 GradStudent 62 Research 13.0
27 GradStudent 41 Research 1.0
27 GradStudent 18 Operations 10.0
27 GradStudent 9 Operations 9.0
38 GradStudent 58 GradStudent 1.0
38 GradStudent 25 Director 6.0
38 GradStudent 12 Director 1.0
38 GradStudent 24 PM 6.0
38 GradStudent 0 PM 1.0
38 GradStudent 47 Research 18.0
38 GradStudent 41 Research 15.0
38 GradStudent 18 Operations 1.0
47 Research 66 GradStudent 60.0
47 Research 65 GradStudent 57.0
47 Research 25 Director 338.0
47 Research 12 Director 31.0
47 Research 29 PM 205.0
47 Research 24 PM 135.0
47 Research 41 Research 173.0
47 Research 62 Research 101.0
47 Research 18 Operations 34.0
47 Research 9 Operations 28.0
47 Research 15 Outreach 43.0
